001,您好，我们是无声咖啡师
002,您好，很高兴为您服务
003,请问您想喝热的还是冰的？
004,我用AR翻译眼镜和你交流
005,好的没问题
006,很抱歉，可能不行
007,很高兴为您服务
008,请问还有什么要求吗？
009,这是咖啡店的菜单，请您过目
010,请您再说一次 谢谢 我没听清楚
011,可以扫码小程序点单
012,如果你纠结点单，我来推荐好吗？
013,这款晴天绿薄荷店里很不错
014,可以试如果您不确定要喝什么咖啡
015,请问您需要我帮您推荐一款吗？
016,如果您喜欢浓郁的口感
017,我们店招牌是冠军拿铁哦
018,您想点什么咖啡饮品还是面包？
019,面包有三种
020,可颂、葡萄卷、柠檬贝果
021,面包需要加热吗
022,请问您要喝咖啡还是茶？
023,除了咖啡我们还有茶和果汁
024,还有喜欢吗？
025,谢谢光临
026,需要打包吗
027,奈娃爱您！
028,爪爪爱您！
029,我能帮您推荐吗
030,绿柠茶冰冰
031,菠莓茶冰冰
032,日落躺岛
033,星愿湾椰椰拿铁推荐全冰
034,小镇燕麦拿铁
035,晴空山巴旦木拿铁
036,晴空山核桃拿铁
037,橙咖橘子海有咖啡
038,整块蜂巢麦奇朵，有一颗蜂巢呢
039,晴天薄荷绿
040,不喜欢咖啡，可以考虑奶猪古力
041,奶猪燕麦
042,推荐三杯小奈咖
043,小岛绿薄荷
044,吵够了莓
045,头上有点绿
046,挚爱冠军拿铁
047,绝美美式
048,小美美式
049,热还是冷？
050,温热？
051,您需要加糖吗？
052,正常冰？少冰？去冰？
053,少糖？正常糖？无糖？
054,无糖，不推荐。推荐正常甜度
055,去冰，不推荐。推荐正常冰，好喝
056,喝前建议搅拌一下
057,建议大口大口喝
058,打包还是堂食？
059,MOMA燕麦奶是瑞典进口的健康奶
060,这是您的小票，请收好。
061,谢谢您！
062,再见，欢迎您再次光临
063,祝你用餐愉快
064,请稍等一下
065,使用员工券 请扫会员码
066,您的订单马上就好，请稍等片刻
067,您的咖啡已经准备好，请您慢用
068,咖啡很热，小心烫
069,咖啡是醒神的好帮手
070,会有一个美好的一天
071,洗手间在对面的酒店
072,咖啡太热，我可以给您加点冰块
073,我们还有蛋糕和面包搭配咖啡
074,我们的咖啡是我们自己种的哦
075,这边请
076,没关系
077,不用谢
078,不客气
079,我想想办法，看看怎样帮您
080,请稍等一下，我去请示一下店长
081,对不起，我没有听清楚
082,请您重复一遍，好吗？
083,没问题
084,再见 感恩您的光临
085,谢谢你，下次再来
086,让您久等了，感谢您的耐心等待
087,麻烦您留一下您的联系电话
088,请带好随身物品
089,牛奶是全脂牛奶不是低脂牛奶
090,请稍候，我马上为您安排
091,谢谢，欢迎您再来。
092,谢谢慢走，祝您生活愉快
093,请告诉我们您的意见和建议
094,我们会不断改进
095,我们的咖啡豆都是新鲜烘焙的
096,咖啡因有助于提高注意力和记忆力
097,谢谢您，祝您今天愉快！
098,关注我们
099,获取更多咖啡知识和独家优惠信息
100,会员优惠福利
101,成为我们的会员
102,您将享受到更多的优惠和专属福利
103,会员每月都有机会获得免费咖啡券
104,在会员日
105,您还可以享受到买一赠一的优惠
106,参与我们的线上互动活动
107,有机会赢取精美礼品
108,我们的咖啡豆都是我们自己种的哦
109,为给您带来最完美的咖啡
110,我们坚持使用最新鲜的咖啡豆
111,确保每一杯咖啡都充满生命力
112,咖啡不仅味道好
113,健康益处如提高注意力、抗氧化等
114,咖啡采用低糖、低脂配方
115,也能保持健康
116,适量饮用咖啡
117,可以降低患糖尿病的风险
118,让您的生活更加健康
119,您好，杯子给我帮您丢掉
120,这个装置还在测试，请您见谅谢谢
121,Cucumber Lemon Ice Tea
122,青瓜 柠檬 和 茉莉花茶