id,phrase
1,你好！
2,早上好！
3,下午好！
4,晚上好！
5,再见！
6,谢谢！
7,不客气！
8,对不起。
9,没关系。
10,请问…
11,你叫什么名字？
12,我叫...
13,你今年多大了？
14,我今年...
15,你住在哪里？
16,我住在…
17,你学习中文多久了？
18,我学习了...
19,你喜欢吃中国菜吗？
20,我很喜欢！
21,你会说英文吗？
22,会一点儿。
23,你喜欢听音乐吗？
24,喜欢。
25,你喜欢看电影吗？
26,喜欢。
27,你有兄弟姐妹吗？
28,有。
29,你有宠物吗？
30,没有。
31,你喜欢运动吗？
32,喜欢。
33,你喜欢读书吗？
34,喜欢。
35,你喜欢旅行吗？
36,喜欢。
37,你有工作吗？
38,有。
39,你喜欢你的工作吗？
40,很喜欢。
41,你今天过得怎么样？
42,不错。
43,你喜欢逛街吗？
44,有时候喜欢。
45,你有什么爱好？
46,我喜欢画画。
47,你喜欢喝茶还是喝咖啡？
48,我更喜欢喝茶。
49,你喜欢吃甜的还是辣的？
50,我喜欢吃甜的。
51,你觉得今天的天气怎么样？
52,很好。
53,你喜欢去海边还是山上？
54,我更喜欢去海边。
55,你有看过这部电影吗？
56,没有。
57,你觉得这个菜怎么样？
58,很好吃。
59,你去过中国吗？
60,去过。
61,你学过汉语吗？
62,学过一点。
63,你会做饭吗？
64,会一点儿。
65,你喜欢吃中国的饭菜吗？
66,很喜欢。
67,你有多少个朋友？
68,有几个好朋友。
69,你喜欢与朋友聚会吗？
70,喜欢。
71,你有参加过婚礼吗？
72,你有看过芭蕾舞吗？
73,你喜欢穿什么颜色的衣服？
74,我喜欢穿白色的衣服。
75,你有什么特长？
76,我擅长唱歌。
77,你平时几点起床？
78,早上六点。
79,你最喜欢的季节是什么？
80,我最喜欢春天。
81,你有什么打算？
82,我计划去旅行。
83,你的生日是几月几号？
84,我的生日是九月十二号。
85,你有什么梦想？
86,我梦想成为一名作家。
87,你最近忙吗？
88,有点忙。
89,你的家乡在哪里？
90,我的家乡在上海。
91,你有过工作经验吗？
92,你最喜欢的颜色是什么？
93,你在哪家公司工作？
94,我在一家IT公司工作。
95,你觉得中国的文化怎么样？
96,非常有意思。
97,你有去过音乐会吗？
98,我最喜欢的颜色是蓝色。
99,你有看过京剧吗？
100,你有去过博物馆吗？